"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Spain (ES)","21.02.2020 07:00 - 21.02.2020 08:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 08:00 - 21.02.2020 09:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 09:00 - 21.02.2020 10:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 10:00 - 21.02.2020 11:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 11:00 - 21.02.2020 12:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 12:00 - 21.02.2020 13:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 13:00 - 21.02.2020 14:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 14:00 - 21.02.2020 15:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 15:00 - 21.02.2020 16:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 16:00 - 21.02.2020 17:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 17:00 - 21.02.2020 18:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 18:00 - 21.02.2020 19:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 19:00 - 21.02.2020 20:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 20:00 - 21.02.2020 21:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 21:00 - 21.02.2020 22:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 22:00 - 21.02.2020 23:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","21.02.2020 23:00 - 22.02.2020 00:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 00:00 - 22.02.2020 01:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 01:00 - 22.02.2020 02:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 02:00 - 22.02.2020 03:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 03:00 - 22.02.2020 04:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 04:00 - 22.02.2020 05:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 05:00 - 22.02.2020 06:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 06:00 - 22.02.2020 07:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 07:00 - 22.02.2020 08:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 08:00 - 22.02.2020 09:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 09:00 - 22.02.2020 10:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 10:00 - 22.02.2020 11:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 11:00 - 22.02.2020 12:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 12:00 - 22.02.2020 13:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 13:00 - 22.02.2020 14:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 14:00 - 22.02.2020 15:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 15:00 - 22.02.2020 16:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 16:00 - 22.02.2020 17:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 17:00 - 22.02.2020 18:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 18:00 - 22.02.2020 19:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 19:00 - 22.02.2020 20:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 20:00 - 22.02.2020 21:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 21:00 - 22.02.2020 22:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 22:00 - 22.02.2020 23:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","22.02.2020 23:00 - 23.02.2020 00:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 00:00 - 23.02.2020 01:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 01:00 - 23.02.2020 02:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 02:00 - 23.02.2020 03:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 03:00 - 23.02.2020 04:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 04:00 - 23.02.2020 05:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 05:00 - 23.02.2020 06:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 06:00 - 23.02.2020 07:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 07:00 - 23.02.2020 08:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 08:00 - 23.02.2020 09:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 09:00 - 23.02.2020 10:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 10:00 - 23.02.2020 11:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 11:00 - 23.02.2020 12:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 12:00 - 23.02.2020 13:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 13:00 - 23.02.2020 14:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 14:00 - 23.02.2020 15:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 15:00 - 23.02.2020 16:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 16:00 - 23.02.2020 17:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 17:00 - 23.02.2020 18:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 18:00 - 23.02.2020 19:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 19:00 - 23.02.2020 20:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 20:00 - 23.02.2020 21:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 21:00 - 23.02.2020 22:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 22:00 - 23.02.2020 23:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","23.02.2020 23:00 - 24.02.2020 00:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 00:00 - 24.02.2020 01:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 01:00 - 24.02.2020 02:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 02:00 - 24.02.2020 03:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 03:00 - 24.02.2020 04:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 04:00 - 24.02.2020 05:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 05:00 - 24.02.2020 06:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 06:00 - 24.02.2020 07:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 07:00 - 24.02.2020 08:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 08:00 - 24.02.2020 09:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 09:00 - 24.02.2020 10:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 10:00 - 24.02.2020 11:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 11:00 - 24.02.2020 12:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 12:00 - 24.02.2020 13:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 13:00 - 24.02.2020 14:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 14:00 - 24.02.2020 15:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 15:00 - 24.02.2020 16:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 16:00 - 24.02.2020 17:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 17:00 - 24.02.2020 18:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 18:00 - 24.02.2020 19:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 19:00 - 24.02.2020 20:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 20:00 - 24.02.2020 21:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 21:00 - 24.02.2020 22:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 22:00 - 24.02.2020 23:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","24.02.2020 23:00 - 25.02.2020 00:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 00:00 - 25.02.2020 01:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 01:00 - 25.02.2020 02:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 02:00 - 25.02.2020 03:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 03:00 - 25.02.2020 04:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 04:00 - 25.02.2020 05:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 05:00 - 25.02.2020 06:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 06:00 - 25.02.2020 07:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 07:00 - 25.02.2020 08:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 08:00 - 25.02.2020 09:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 09:00 - 25.02.2020 10:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 10:00 - 25.02.2020 11:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 11:00 - 25.02.2020 12:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 12:00 - 25.02.2020 13:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 13:00 - 25.02.2020 14:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 14:00 - 25.02.2020 15:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 15:00 - 25.02.2020 16:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 16:00 - 25.02.2020 17:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 17:00 - 25.02.2020 18:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 18:00 - 25.02.2020 19:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 19:00 - 25.02.2020 20:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 20:00 - 25.02.2020 21:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 21:00 - 25.02.2020 22:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 22:00 - 25.02.2020 23:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","25.02.2020 23:00 - 26.02.2020 00:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 00:00 - 26.02.2020 01:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 01:00 - 26.02.2020 02:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 02:00 - 26.02.2020 03:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 03:00 - 26.02.2020 04:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 04:00 - 26.02.2020 05:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 05:00 - 26.02.2020 06:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 06:00 - 26.02.2020 07:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 07:00 - 26.02.2020 08:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 08:00 - 26.02.2020 09:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 09:00 - 26.02.2020 10:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 10:00 - 26.02.2020 11:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 11:00 - 26.02.2020 12:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 12:00 - 26.02.2020 13:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 13:00 - 26.02.2020 14:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 14:00 - 26.02.2020 15:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 15:00 - 26.02.2020 16:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 16:00 - 26.02.2020 17:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 17:00 - 26.02.2020 18:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 18:00 - 26.02.2020 19:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 19:00 - 26.02.2020 20:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 20:00 - 26.02.2020 21:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 21:00 - 26.02.2020 22:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 22:00 - 26.02.2020 23:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","26.02.2020 23:00 - 27.02.2020 00:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 00:00 - 27.02.2020 01:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 01:00 - 27.02.2020 02:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 02:00 - 27.02.2020 03:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 03:00 - 27.02.2020 04:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 04:00 - 27.02.2020 05:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 05:00 - 27.02.2020 06:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 06:00 - 27.02.2020 07:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 07:00 - 27.02.2020 08:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 08:00 - 27.02.2020 09:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 09:00 - 27.02.2020 10:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 10:00 - 27.02.2020 11:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 11:00 - 27.02.2020 12:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 12:00 - 27.02.2020 13:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 13:00 - 27.02.2020 14:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 14:00 - 27.02.2020 15:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 15:00 - 27.02.2020 16:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 16:00 - 27.02.2020 17:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 17:00 - 27.02.2020 18:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 18:00 - 27.02.2020 19:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 19:00 - 27.02.2020 20:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 20:00 - 27.02.2020 21:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 21:00 - 27.02.2020 22:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 22:00 - 27.02.2020 23:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","27.02.2020 23:00 - 28.02.2020 00:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","28.02.2020 00:00 - 28.02.2020 01:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","28.02.2020 01:00 - 28.02.2020 02:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Spain (ES)","28.02.2020 02:00 - 28.02.2020 03:00 (UTC)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
